run_id	status	started_at	finished_at
2026-04-25_CasefoldV2_ParResid_QAT10	ok	2026-04-25T00:38:14-07:00	2026-04-25T01:10:27-07:00
2026-04-25_CasefoldV2_ParResid_QAT20	ok	2026-04-25T01:10:27-07:00	2026-04-25T01:42:44-07:00
2026-04-25_CasefoldV2_ParResid_QAT10_NoHessClip	ok	2026-04-25T01:42:44-07:00	2026-04-25T02:15:00-07:00
2026-04-25_CasefoldV2_ParResid_QAT05	ok	2026-04-25T02:15:00-07:00	2026-04-25T02:47:16-07:00
2026-04-25_CasefoldV2_ParResid_QAT15	ok	2026-04-25T02:47:16-07:00	2026-04-25T03:19:32-07:00
2026-04-25_CasefoldV2_ParResid_QAT10_Ramp250	ok	2026-04-25T03:19:32-07:00	2026-04-25T03:51:51-07:00
2026-04-25_CasefoldV2_ParResid_QAT10_Ramp1000	ok	2026-04-25T03:51:51-07:00	2026-04-25T04:24:10-07:00
2026-04-25_CasefoldV2_ParResid_QAT10_QKGain40	ok	2026-04-25T04:24:10-07:00	2026-04-25T04:56:28-07:00
2026-04-25_CasefoldV2_ParResid_QAT10_QKGain50	ok	2026-04-25T04:56:28-07:00	2026-04-25T05:28:46-07:00
2026-04-25_CasefoldV2_ParResid_QAT20_NoHessClip	ok	2026-04-25T05:28:46-07:00	2026-04-25T06:01:03-07:00
