run_id	status	started_at	finished_at
2026-04-25_CasefoldV2_ParResid_QAT20_QKGain40_All	ok	2026-04-25T11:31:16-07:00	2026-04-25T12:03:31-07:00
2026-04-25_CasefoldV2_ParResid_QAT20_QKGain40_All_L7plus	ok	2026-04-25T12:03:31-07:00	2026-04-25T12:35:50-07:00
2026-04-25_CasefoldV2_ParResid_QAT20_QKGain40_All_L8plus	ok	2026-04-25T12:35:50-07:00	2026-04-25T13:08:00-07:00
2026-04-25_CasefoldV2_ParResid_QAT20_QKGain40_AttnOnly	ok	2026-04-25T13:08:00-07:00	2026-04-25T13:40:14-07:00
2026-04-25_CasefoldV2_ParResid_QAT20_QKGain40_Attn_L7plus	ok	2026-04-25T13:40:14-07:00	2026-04-25T14:12:25-07:00
2026-04-25_CasefoldV2_ParResid_QAT20_QKGain40_Attn_L8plus	ok	2026-04-25T14:12:25-07:00	2026-04-25T14:44:34-07:00
2026-04-25_CasefoldV2_ParResid_QAT20_QKGain40_MLPOnly	ok	2026-04-25T14:44:34-07:00	2026-04-25T15:16:45-07:00
2026-04-25_CasefoldV2_ParResid_QAT20_QKGain40_MLP_L7plus	ok	2026-04-25T15:16:45-07:00	2026-04-25T15:48:56-07:00
2026-04-25_CasefoldV2_ParResid_QAT20_QKGain40_MLP_L8plus	ok	2026-04-25T15:48:56-07:00	2026-04-25T16:21:07-07:00
2026-04-25_CasefoldV2_ParResid_QAT20_QKGain40_All_EarlyOnly	ok	2026-04-25T16:21:07-07:00	2026-04-25T16:53:17-07:00
