run_id	tokenizer	stack	mode
2026-04-25_SP8192_Base_Valid	SP8192	Base	non_qat
2026-04-25_CaseOps_Base_Valid	CaseOps	Base	non_qat
2026-04-25_SP8192_SkipGates_Valid	SP8192	SkipGates	non_qat
2026-04-25_CaseOps_SkipGates_Valid	CaseOps	SkipGates	non_qat
2026-04-25_SP8192_SkipGates_ParResid_Valid	SP8192	SkipGates_ParResid	non_qat
2026-04-25_CaseOps_SkipGates_ParResid_Valid	CaseOps	SkipGates_ParResid	non_qat
2026-04-25_SP8192_SkipGates_ParResid_QKGain45_HessClip015_Valid	SP8192	SkipGates_ParResid_QKGain45_HessClip015	non_qat
2026-04-25_CaseOps_SkipGates_ParResid_QKGain45_HessClip015_Valid	CaseOps	SkipGates_ParResid_QKGain45_HessClip015	non_qat
2026-04-25_SP8192_SkipGates_ParResid_QAT10_QKGain40_Valid	SP8192	SkipGates_ParResid_QAT10_QKGain40	qat
2026-04-25_CaseOps_SkipGates_ParResid_QAT10_QKGain40_Valid	CaseOps	SkipGates_ParResid_QAT10_QKGain40	qat
2026-04-25_SP8192_SkipGates_ParResid_QAT20_QKGain40_MLPOnly_Valid	SP8192	SkipGates_ParResid_QAT20_QKGain40_MLPOnly	qat
2026-04-25_CaseOps_SkipGates_ParResid_QAT20_QKGain40_MLPOnly_Valid	CaseOps	SkipGates_ParResid_QAT20_QKGain40_MLPOnly	qat
